Código | Item | Linha | Coluna
1 | , | 38 | 34
3 | : | 38 | 42
3 | : | 38 | 44
24 | PLANCK010 | 38 | 37
5 | ) | 38 | 47
7 | ; | 38 | 48
39 | writeln | 39 | 3
4 | ( | 39 | 10
27 | 8. Carga Elétron..:  | 39 | 12
1 | , | 39 | 33
3 | : | 39 | 50
3 | : | 39 | 52
24 | ELECTRON_CHARGE010 | 39 | 36
5 | ) | 39 | 55
7 | ; | 39 | 56
39 | writeln | 41 | 3
7 | ; | 41 | 10
39 | writeln | 42 | 3
4 | ( | 42 | 10
27 | Valores Hexadecimais: | 42 | 12
5 | ) | 42 | 34
7 | ; | 42 | 35
39 | writeln | 43 | 3
4 | ( | 43 | 10
27 | --------------------- | 43 | 12
5 | ) | 43 | 34
7 | ; | 43 | 35
39 | writeln | 44 | 3
4 | ( | 44 | 10
27 | 9. Máscara de Flags:  | 44 | 12
1 | , | 44 | 34
24 | MASK_FLAGS | 44 | 36
5 | ) | 44 | 46
7 | ; | 44 | 47
39 | writeln | 45 | 3
4 | ( | 45 | 10
27 | 10. Código de Erro..:  | 45 | 12
1 | , | 45 | 35
24 | ERROR_CODE | 45 | 37
5 | ) | 45 | 47
7 | ; | 45 | 48
39 | writeln | 47 | 3
7 | ; | 47 | 10
39 | writeln | 48 | 3
4 | ( | 48 | 10
27 | Operações com Hexadecimais: | 48 | 12
5 | ) | 48 | 40
7 | ; | 48 | 41
39 | writeln | 49 | 3
4 | ( | 49 | 10
27 | -------------------------- | 49 | 12
5 | ) | 49 | 39
7 | ; | 49 | 40
39 | writeln | 50 | 3
4 | ( | 50 | 10
27 | MASK_FLAGS AND 0x00FF =  | 50 | 12
1 | , | 50 | 37
24 | MASK_FLAGS | 50 | 39
21 | and | 50 | 50
24 | $00FF | 50 | 54
5 | ) | 50 | 59
7 | ; | 50 | 60
39 | writeln | 51 | 3
4 | ( | 51 | 10
27 | ERROR_CODE OR 0x0100 =  | 51 | 12
1 | , | 51 | 36
24 | ERROR_CODE | 51 | 38
20 | or | 51 | 49
24 | $0100 | 51 | 52
5 | ) | 51 | 57
7 | ; | 51 | 58
39 | writeln | 53 | 3
7 | ; | 53 | 10
39 | writeln | 54 | 3
4 | ( | 54 | 10
27 | Pressione ENTER para sair... | 54 | 12
5 | ) | 54 | 41
7 | ; | 54 | 42
41 | readln | 55 | 3
7 | ; | 55 | 9
20 | end | 56 | 1
2 | . | 56 | 4
